factory,phase,datacenter,room,row,col,side
F12,P7,DC1,R0,D,27,L
F12,P7,DC1,R0,D,27,R
F12,P7,DC1,R0,D,30,L
F12,P7,DC1,R0,D,30,R
F12,P7,DC1,R0,E,27,L
F12,P7,DC1,R0,E,27,R
F12,P7,DC1,R0,E,30,L
F12,P7,DC1,R0,E,30,R
F12,P7,DC1,R0,F,27,L
F12,P7,DC1,R0,F,27,R
F12,P7,DC1,R0,F,30,L
F12,P7,DC1,R0,F,30,R
F12,P7,DC1,R0,G,27,L
F12,P7,DC1,R0,G,27,R
F12,P7,DC1,R0,G,30,L
F12,P7,DC1,R0,G,30,R
F12,P7,DC1,R0,H,27,L
F12,P7,DC1,R0,H,27,R
F12,P7,DC1,R0,H,30,L
F12,P7,DC1,R0,H,30,R
F12,P7,DC1,R0,I,27,L
F12,P7,DC1,R0,I,27,R
F12,P7,DC1,R0,I,30,L
F12,P7,DC1,R0,I,30,R
F12,P7,DC1,R0,J,27,L
F12,P7,DC1,R0,J,27,R
F12,P7,DC1,R0,J,30,L
F12,P7,DC1,R0,J,30,R
F12,P7,DC1,R0,K,27,L
F12,P7,DC1,R0,K,27,R
F12,P7,DC1,R0,K,30,L
F12,P7,DC1,R0,K,30,R
F12,P7,DC1,R0,L,27,L
F12,P7,DC1,R0,L,27,R
F12,P7,DC1,R0,L,30,L
F12,P7,DC1,R0,L,30,R
F12,P7,DC1,R0,M,27,L
F12,P7,DC1,R0,M,27,R
F12,P7,DC1,R0,M,30,L
F12,P7,DC1,R0,M,30,R
F12,P7,DC1,R0,N,27,L
F12,P7,DC1,R0,N,27,R
F12,P7,DC1,R0,N,30,L
F12,P7,DC1,R0,N,30,R
F12,P7,DC1,R1,C,102,L
F12,P7,DC1,R1,C,102,R
F12,P7,DC1,R1,C,107,L
F12,P7,DC1,R1,C,107,R
F12,P7,DC1,R1,C,99,L
F12,P7,DC1,R1,C,99,R
F12,P7,DC1,R1,D,107,L
F12,P7,DC1,R1,D,107,R
F12,P7,DC1,R1,D,99,L
F12,P7,DC1,R1,D,99,R
F12,P7,DC1,R1,E,102,L
F12,P7,DC1,R1,E,102,R
F12,P7,DC1,R1,E,110,L
F12,P7,DC1,R1,E,110,R
F12,P7,DC1,R1,F,102,L
F12,P7,DC1,R1,F,102,R
F12,P7,DC1,R1,F,107,L
F12,P7,DC1,R1,F,107,R
F12,P7,DC1,R1,F,110,L
F12,P7,DC1,R1,F,110,R
F12,P7,DC1,R1,F,99,L
F12,P7,DC1,R1,F,99,R
F12,P7,DC1,R1,G,107,L
F12,P7,DC1,R1,G,107,R
F12,P7,DC1,R1,G,99,L
F12,P7,DC1,R1,G,99,R
F12,P7,DC1,R1,H,102,L
F12,P7,DC1,R1,H,102,R
F12,P7,DC1,R1,H,107,L
F12,P7,DC1,R1,H,107,R
F12,P7,DC1,R1,H,110,L
F12,P7,DC1,R1,H,110,R
F12,P7,DC1,R1,H,99,L
F12,P7,DC1,R1,H,99,R
F12,P7,DC1,R1,I,102,L
F12,P7,DC1,R1,I,102,R
F12,P7,DC1,R1,I,110,L
F12,P7,DC1,R1,I,110,R
F12,P7,DC1,R1,J,102,L
F12,P7,DC1,R1,J,102,R
F12,P7,DC1,R1,J,107,L
F12,P7,DC1,R1,J,107,R
F12,P7,DC1,R1,J,110,L
F12,P7,DC1,R1,J,110,R
F12,P7,DC1,R1,J,99,L
F12,P7,DC1,R1,J,99,R
F12,P7,DC1,R1,K,107,L
F12,P7,DC1,R1,K,107,R
F12,P7,DC1,R1,K,99,L
F12,P7,DC1,R1,K,99,R
F12,P7,DC1,R1,L,102,L
F12,P7,DC1,R1,L,102,R
F12,P7,DC1,R1,L,107,L
F12,P7,DC1,R1,L,107,R
F12,P7,DC1,R1,L,110,L
F12,P7,DC1,R1,L,110,R
F12,P7,DC1,R1,L,99,L
F12,P7,DC1,R1,L,99,R
F12,P7,DC1,R1,M,102,L
F12,P7,DC1,R1,M,102,R
F12,P7,DC1,R1,M,110,L
F12,P7,DC1,R1,M,110,R
F12,P7,DC1,R1,N,107,L
F12,P7,DC1,R1,N,107,R
F12,P7,DC1,R1,N,99,L
F12,P7,DC1,R1,N,99,R
F12,P7,DC1,R1,O,102,L
F12,P7,DC1,R1,O,102,R
F12,P7,DC1,R1,O,107,L
F12,P7,DC1,R1,O,107,R
F12,P7,DC1,R1,O,99,L
F12,P7,DC1,R1,O,99,R
F12,P7,DC1,R1,R,102,L
F12,P7,DC1,R1,R,102,R
F12,P7,DC1,R1,R,107,L
F12,P7,DC1,R1,R,107,R
F12,P7,DC1,R1,R,110,L
F12,P7,DC1,R1,R,110,R
F12,P7,DC1,R1,R,99,L
F12,P7,DC1,R1,R,99,R
F12,P7,DC1,R1,S,107,L
F12,P7,DC1,R1,S,107,R
F12,P7,DC1,R1,S,99,L
F12,P7,DC1,R1,S,99,R
F12,P7,DC1,R1,T,102,L
F12,P7,DC1,R1,T,102,R
F12,P7,DC1,R1,T,110,L
F12,P7,DC1,R1,T,110,R
F12,P7,DC1,R1,U,102,L
F12,P7,DC1,R1,U,102,R
F12,P7,DC1,R1,U,107,L
F12,P7,DC1,R1,U,107,R
F12,P7,DC1,R1,U,110,L
F12,P7,DC1,R1,U,110,R
F12,P7,DC1,R1,U,99,L
F12,P7,DC1,R1,U,99,R
F12,P7,DC1,R1,V,107,L
F12,P7,DC1,R1,V,107,R
F12,P7,DC1,R1,V,99,L
F12,P7,DC1,R1,V,99,R
F12,P7,DC1,R1,W,102,L
F12,P7,DC1,R1,W,102,R
F12,P7,DC1,R1,W,107,L
F12,P7,DC1,R1,W,107,R
F12,P7,DC1,R1,W,110,L
F12,P7,DC1,R1,W,110,R
F12,P7,DC1,R1,W,99,L
F12,P7,DC1,R1,W,99,R
F12,P7,DC1,R1,X,102,L
F12,P7,DC1,R1,X,102,R
F12,P7,DC1,R1,X,11,L
F12,P7,DC1,R1,X,11,R
F12,P7,DC1,R1,X,110,L
F12,P7,DC1,R1,X,110,R
F12,P7,DC1,R1,X,12,L
F12,P7,DC1,R1,X,12,R
F12,P7,DC1,R1,X,13,L
F12,P7,DC1,R1,X,13,R
F12,P7,DC1,R1,X,14,L
F12,P7,DC1,R1,X,14,R
F12,P7,DC1,R1,X,15,L
F12,P7,DC1,R1,X,15,R
F12,P7,DC1,R1,X,16,L
F12,P7,DC1,R1,X,16,R
F12,P7,DC1,R1,X,17,L
F12,P7,DC1,R1,X,17,R
F12,P7,DC1,R1,X,18,L
F12,P7,DC1,R1,X,18,R
F12,P7,DC1,R1,Y,107,L
F12,P7,DC1,R1,Y,107,R
F12,P7,DC1,R1,Y,99,L
F12,P7,DC1,R1,Y,99,R
F12,P7,DC1,R1,Z,102,L
F12,P7,DC1,R1,Z,102,R
F12,P7,DC1,R1,Z,107,L
F12,P7,DC1,R1,Z,107,R
F12,P7,DC1,R1,Z,99,L
F12,P7,DC1,R1,Z,99,R
F12,P7,DC1,R2,C,83,L
F12,P7,DC1,R2,C,83,R
F12,P7,DC1,R2,C,86,L
F12,P7,DC1,R2,C,86,R
F12,P7,DC1,R2,C,91,L
F12,P7,DC1,R2,C,91,R
F12,P7,DC1,R2,C,94,L
F12,P7,DC1,R2,C,94,R
F12,P7,DC1,R2,D,83,L
F12,P7,DC1,R2,D,83,R
F12,P7,DC1,R2,D,91,L
F12,P7,DC1,R2,D,91,R
F12,P7,DC1,R2,E,86,L
F12,P7,DC1,R2,E,86,R
F12,P7,DC1,R2,E,94,L
F12,P7,DC1,R2,E,94,R
F12,P7,DC1,R2,F,83,L
F12,P7,DC1,R2,F,83,R
F12,P7,DC1,R2,F,86,L
F12,P7,DC1,R2,F,86,R
F12,P7,DC1,R2,F,91,L
F12,P7,DC1,R2,F,91,R
F12,P7,DC1,R2,F,94,L
F12,P7,DC1,R2,F,94,R
F12,P7,DC1,R2,G,83,L
F12,P7,DC1,R2,G,83,R
F12,P7,DC1,R2,G,91,L
F12,P7,DC1,R2,G,91,R
F12,P7,DC1,R2,H,83,L
F12,P7,DC1,R2,H,83,R
F12,P7,DC1,R2,H,86,L
F12,P7,DC1,R2,H,86,R
F12,P7,DC1,R2,H,91,L
F12,P7,DC1,R2,H,91,R
F12,P7,DC1,R2,H,94,L
F12,P7,DC1,R2,H,94,R
F12,P7,DC1,R2,I,86,L
F12,P7,DC1,R2,I,86,R
F12,P7,DC1,R2,I,94,L
F12,P7,DC1,R2,I,94,R
F12,P7,DC1,R2,J,83,L
F12,P7,DC1,R2,J,83,R
F12,P7,DC1,R2,J,86,L
F12,P7,DC1,R2,J,86,R
F12,P7,DC1,R2,J,91,L
F12,P7,DC1,R2,J,91,R
F12,P7,DC1,R2,J,94,L
F12,P7,DC1,R2,J,94,R
F12,P7,DC1,R2,K,83,L
F12,P7,DC1,R2,K,83,R
F12,P7,DC1,R2,K,91,L
F12,P7,DC1,R2,K,91,R
F12,P7,DC1,R2,L,83,L
F12,P7,DC1,R2,L,83,R
F12,P7,DC1,R2,L,86,L
F12,P7,DC1,R2,L,86,R
F12,P7,DC1,R2,L,91,L
F12,P7,DC1,R2,L,91,R
F12,P7,DC1,R2,L,94,L
F12,P7,DC1,R2,L,94,R
F12,P7,DC1,R2,M,86,L
F12,P7,DC1,R2,M,86,R
F12,P7,DC1,R2,M,94,L
F12,P7,DC1,R2,M,94,R
F12,P7,DC1,R2,N,83,L
F12,P7,DC1,R2,N,83,R
F12,P7,DC1,R2,N,91,L
F12,P7,DC1,R2,N,91,R
F12,P7,DC1,R2,O,83,L
F12,P7,DC1,R2,O,83,R
F12,P7,DC1,R2,O,86,L
F12,P7,DC1,R2,O,86,R
F12,P7,DC1,R2,O,91,L
F12,P7,DC1,R2,O,91,R
F12,P7,DC1,R2,O,94,L
F12,P7,DC1,R2,O,94,R
F12,P7,DC1,R2,R,83,L
F12,P7,DC1,R2,R,83,R
F12,P7,DC1,R2,R,86,L
F12,P7,DC1,R2,R,86,R
F12,P7,DC1,R2,R,91,L
F12,P7,DC1,R2,R,91,R
F12,P7,DC1,R2,R,94,L
F12,P7,DC1,R2,R,94,R
F12,P7,DC1,R2,S,83,L
F12,P7,DC1,R2,S,83,R
F12,P7,DC1,R2,S,91,L
F12,P7,DC1,R2,S,91,R
F12,P7,DC1,R2,T,86,L
F12,P7,DC1,R2,T,86,R
F12,P7,DC1,R2,T,94,L
F12,P7,DC1,R2,T,94,R
F12,P7,DC1,R2,U,83,L
F12,P7,DC1,R2,U,83,R
F12,P7,DC1,R2,U,86,L
F12,P7,DC1,R2,U,86,R
F12,P7,DC1,R2,U,91,L
F12,P7,DC1,R2,U,91,R
F12,P7,DC1,R2,U,94,L
F12,P7,DC1,R2,U,94,R
F12,P7,DC1,R2,V,83,L
F12,P7,DC1,R2,V,83,R
F12,P7,DC1,R2,V,91,L
F12,P7,DC1,R2,V,91,R
F12,P7,DC1,R2,W,83,L
F12,P7,DC1,R2,W,83,R
F12,P7,DC1,R2,W,86,L
F12,P7,DC1,R2,W,86,R
F12,P7,DC1,R2,W,91,L
F12,P7,DC1,R2,W,91,R
F12,P7,DC1,R2,W,94,L
F12,P7,DC1,R2,W,94,R
F12,P7,DC1,R2,X,21,L
F12,P7,DC1,R2,X,21,R
F12,P7,DC1,R2,X,22,L
F12,P7,DC1,R2,X,22,R
F12,P7,DC1,R2,X,23,L
F12,P7,DC1,R2,X,23,R
F12,P7,DC1,R2,X,24,L
F12,P7,DC1,R2,X,24,R
F12,P7,DC1,R2,X,25,L
F12,P7,DC1,R2,X,25,R
F12,P7,DC1,R2,X,26,L
F12,P7,DC1,R2,X,26,R
F12,P7,DC1,R2,X,27,L
F12,P7,DC1,R2,X,27,R
F12,P7,DC1,R2,X,28,L
F12,P7,DC1,R2,X,28,R
F12,P7,DC1,R2,X,83,L
F12,P7,DC1,R2,X,83,R
F12,P7,DC1,R2,X,86,L
F12,P7,DC1,R2,X,86,R
F12,P7,DC1,R2,X,94,L
F12,P7,DC1,R2,X,94,R
F12,P7,DC1,R2,Y,91,L
F12,P7,DC1,R2,Y,91,R
F12,P7,DC1,R2,Z,83,L
F12,P7,DC1,R2,Z,83,R
F12,P7,DC1,R2,Z,86,L
F12,P7,DC1,R2,Z,86,R
F12,P7,DC1,R2,Z,91,L
F12,P7,DC1,R2,Z,91,R
F12,P7,DC1,R2,Z,94,L
F12,P7,DC1,R2,Z,94,R
F12,P7,DC1,R3,C,67,L
F12,P7,DC1,R3,C,67,R
F12,P7,DC1,R3,C,70,L
F12,P7,DC1,R3,C,70,R
F12,P7,DC1,R3,C,78,L
F12,P7,DC1,R3,C,78,R
F12,P7,DC1,R3,D,70,L
F12,P7,DC1,R3,D,70,R
F12,P7,DC1,R3,D,75,L
F12,P7,DC1,R3,D,75,R
F12,P7,DC1,R3,E,67,L
F12,P7,DC1,R3,E,67,R
F12,P7,DC1,R3,E,75,L
F12,P7,DC1,R3,E,75,R
F12,P7,DC1,R3,E,78,L
F12,P7,DC1,R3,E,78,R
F12,P7,DC1,R3,F,67,L
F12,P7,DC1,R3,F,67,R
F12,P7,DC1,R3,F,70,L
F12,P7,DC1,R3,F,70,R
F12,P7,DC1,R3,F,78,L
F12,P7,DC1,R3,F,78,R
F12,P7,DC1,R3,G,70,L
F12,P7,DC1,R3,G,70,R
F12,P7,DC1,R3,G,75,L
F12,P7,DC1,R3,G,75,R
F12,P7,DC1,R3,H,67,L
F12,P7,DC1,R3,H,67,R
F12,P7,DC1,R3,H,75,L
F12,P7,DC1,R3,H,75,R
F12,P7,DC1,R3,H,78,L
F12,P7,DC1,R3,H,78,R
F12,P7,DC1,R3,I,67,L
F12,P7,DC1,R3,I,67,R
F12,P7,DC1,R3,I,70,L
F12,P7,DC1,R3,I,70,R
F12,P7,DC1,R3,I,78,L
F12,P7,DC1,R3,I,78,R
F12,P7,DC1,R3,J,67,L
F12,P7,DC1,R3,J,67,R
F12,P7,DC1,R3,J,70,L
F12,P7,DC1,R3,J,70,R
F12,P7,DC1,R3,J,75,L
F12,P7,DC1,R3,J,75,R
F12,P7,DC1,R3,J,78,L
F12,P7,DC1,R3,J,78,R
F12,P7,DC1,R3,K,70,L
F12,P7,DC1,R3,K,70,R
F12,P7,DC1,R3,K,75,L
F12,P7,DC1,R3,K,75,R
F12,P7,DC1,R3,L,67,L
F12,P7,DC1,R3,L,67,R
F12,P7,DC1,R3,L,75,L
F12,P7,DC1,R3,L,75,R
F12,P7,DC1,R3,L,78,L
F12,P7,DC1,R3,L,78,R
F12,P7,DC1,R3,M,67,L
F12,P7,DC1,R3,M,67,R
F12,P7,DC1,R3,M,70,L
F12,P7,DC1,R3,M,70,R
F12,P7,DC1,R3,M,78,L
F12,P7,DC1,R3,M,78,R
F12,P7,DC1,R3,N,70,L
F12,P7,DC1,R3,N,70,R
F12,P7,DC1,R3,N,75,L
F12,P7,DC1,R3,N,75,R
F12,P7,DC1,R3,O,67,L
F12,P7,DC1,R3,O,67,R
F12,P7,DC1,R3,O,75,L
F12,P7,DC1,R3,O,75,R
F12,P7,DC1,R3,O,78,L
F12,P7,DC1,R3,O,78,R
F12,P7,DC1,R3,R,67,L
F12,P7,DC1,R3,R,67,R
F12,P7,DC1,R3,R,70,L
F12,P7,DC1,R3,R,70,R
F12,P7,DC1,R3,R,75,L
F12,P7,DC1,R3,R,75,R
F12,P7,DC1,R3,R,78,L
F12,P7,DC1,R3,R,78,R
F12,P7,DC1,R3,S,67,L
F12,P7,DC1,R3,S,67,R
F12,P7,DC1,R3,S,75,L
F12,P7,DC1,R3,S,75,R
F12,P7,DC1,R3,T,70,L
F12,P7,DC1,R3,T,70,R
F12,P7,DC1,R3,T,78,L
F12,P7,DC1,R3,T,78,R
F12,P7,DC1,R3,U,67,L
F12,P7,DC1,R3,U,67,R
F12,P7,DC1,R3,U,70,L
F12,P7,DC1,R3,U,70,R
F12,P7,DC1,R3,U,75,L
F12,P7,DC1,R3,U,75,R
F12,P7,DC1,R3,U,78,L
F12,P7,DC1,R3,U,78,R
F12,P7,DC1,R3,V,67,L
F12,P7,DC1,R3,V,67,R
F12,P7,DC1,R3,V,75,L
F12,P7,DC1,R3,V,75,R
F12,P7,DC1,R3,W,67,L
F12,P7,DC1,R3,W,67,R
F12,P7,DC1,R3,W,70,L
F12,P7,DC1,R3,W,70,R
F12,P7,DC1,R3,W,75,L
F12,P7,DC1,R3,W,75,R
F12,P7,DC1,R3,W,78,L
F12,P7,DC1,R3,W,78,R
F12,P7,DC1,R3,X,31,L
F12,P7,DC1,R3,X,31,R
F12,P7,DC1,R3,X,32,L
F12,P7,DC1,R3,X,32,R
F12,P7,DC1,R3,X,33,L
F12,P7,DC1,R3,X,33,R
F12,P7,DC1,R3,X,34,L
F12,P7,DC1,R3,X,34,R
F12,P7,DC1,R3,X,35,L
F12,P7,DC1,R3,X,35,R
F12,P7,DC1,R3,X,36,L
F12,P7,DC1,R3,X,36,R
F12,P7,DC1,R3,X,37,L
F12,P7,DC1,R3,X,37,R
F12,P7,DC1,R3,X,38,L
F12,P7,DC1,R3,X,38,R
F12,P7,DC1,R3,X,70,L
F12,P7,DC1,R3,X,70,R
F12,P7,DC1,R3,X,78,L
F12,P7,DC1,R3,X,78,R
F12,P7,DC1,R3,Y,67,L
F12,P7,DC1,R3,Y,67,R
F12,P7,DC1,R3,Y,75,L
F12,P7,DC1,R3,Y,75,R
F12,P7,DC1,R3,Z,67,L
F12,P7,DC1,R3,Z,67,R
F12,P7,DC1,R3,Z,70,L
F12,P7,DC1,R3,Z,70,R
F12,P7,DC1,R3,Z,75,L
F12,P7,DC1,R3,Z,75,R
F12,P7,DC1,R3,Z,78,L
F12,P7,DC1,R3,Z,78,R
F12,P7,DC1,R4,C,51,L
F12,P7,DC1,R4,C,51,R
F12,P7,DC1,R4,C,54,L
F12,P7,DC1,R4,C,54,R
F12,P7,DC1,R4,C,62,L
F12,P7,DC1,R4,C,62,R
F12,P7,DC1,R4,D,51,L
F12,P7,DC1,R4,D,51,R
F12,P7,DC1,R4,D,59,L
F12,P7,DC1,R4,D,59,R
F12,P7,DC1,R4,E,51,L
F12,P7,DC1,R4,E,51,R
F12,P7,DC1,R4,E,54,L
