category,metric_name,alias_name,raw_unit,display_unit,partition_tag
,,,,,null
cpu,idle_usage,idle,%,%,cpu_name
cpu,system_usage,system,%,%,cpu_name
cpu,user_usage,user,%,%,cpu_name
cpu,iowait_usage,iowait,%,%,cpu_name
cpu,nice_usage,nice,%,%,cpu_name
cpu,steal_usage,steal,%,%,cpu_name
cpu,privileged_time,privileged,%,%,cpu_name
cpu,user_time,user,%,%,cpu_name
cpu,interrupt_time,interrupt,%,%,cpu_name
memory,mem_total_bytes,total,bytes,bytes,null
memory,mem_used_bytes,used,bytes,bytes,null
memory,cache_bytes,cache,bytes,bytes,null
memory,buffer_bytes,buffer,bytes,bytes,null
memory,mem_usage,mem_usage,%,%,null
memory,cache_usage,cache,%,%,null
memory,buffer_usage,buffer,%,%,null
swap,swap_total_bytes,total,bytes,bytes,swap_name
swap,swap_used_bytes,used,bytes,bytes,swap_name
swap,swap_usage,swap,%,%,swap_name
swap,paging_usage,paging,%,%,swap_name
swap,pgin,pgin,pages,pages,swap_name
swap,pgout,pgout,pages,pages,swap_name
network,sent_bytes,sent,bytes,bytes,network_name
network,recv_bytes,recv,bytes,bytes,network_name
network,sent_packets,sent,packets,packets,network_name
network,recv_packets,recv,packets,packets,network_name
network,sent_errs,sent,errors,errors,network_name
network,recv_errs,recv,errors,errors,network_name
disk,busy,busy,%,%,disk_name
disk,read_bytes,read,bytes,bytes,disk_name
disk,write_bytes,write,bytes,bytes,disk_name
disk,reads,reads,count,count,disk_name
disk,writes,writes,count,count,disk_name
disk,xfers,xfers,transfers,transfers,disk_name
disk,rqueue,rqueue,queues,queues,disk_name
disk,wqueue,wqueue,queues,queues,disk_name
disk,queue_length,queue_length,queues,queues,disk_name
filesystem,fs_total_bytes,total,bytes,bytes,filesystem_name
filesystem,fs_free_bytes,free,bytes,bytes,filesystem_name
filesystem,fs_used_bytes,used,bytes,bytes,filesystem_name
filesystem,fs_usage,usage,%,%,filesystem_name
process,pid,pid,,,process_name
process,ps_cpu_usage,cpu_usage,%,%,process_name
process,ps_mem_usage,mem_usage,%,%,process_name
system,uptime,uptime,seconds,seconds,null
database,connection_refused,connection_refused,count,count,db_name
ping,result_code,result_code,count,count,null
cpu,cpu_usage,cpu_usage,%,%,cpu_name